"AddedDate(GMT+0)","Application","Component","ComponentId","EntryType","EventType","InstanceId","Level","ProcessId","SessionId","Tenant","UserId","Message"
"2016-10-06 07:45:45.044","Application Studio Service Worker","Mis.Olap.XmlaDriver.DiscoverRequest",,"TimeEnd","60003","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","XMLA:ExecuteSchema MDSCHEMA_DIMENSIONS: 33 ms"
"2016-10-06 07:45:45.047","Application Studio Service Worker","Mis.Olap.XmlaDriver.DiscoverRequest",,"TimeStart","60003","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","XMLA:ExecuteSchema DISCOVER_PROPERTIES"
"2016-10-06 07:45:45.050","Application Studio Service Worker","Mis.Olap.XmlaDriver.DiscoverRequest",,"TimeEnd","60003","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","XMLA:ExecuteSchema DISCOVER_PROPERTIES: 2 ms"
"2016-10-06 07:45:45.057","Application Studio Service Worker","Infor.BI.Reporting.Context.DatabaseAliasUtilities.AleaDatabaseAliasUtilities",,"TimeEnd","60002","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","Connecting to alias database: 458 ms"
"2016-10-06 07:45:45.059","Application Studio Service Worker","Infor.BI.Reporting.Context.DatabaseAliasUtilities.AleaDatabaseAliasUtilities",,"TimeStart","60002","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","Creating calculations"
"2016-10-06 07:45:45.117","Application Studio Service Worker","Mis.Olap.XmlaDriver.DiscoverRequest",,"TimeStart","60003","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","XMLA:ExecuteSchema MDSCHEMA_CUBES"
"2016-10-06 07:45:45.119","Application Studio Service Worker","Mis.Olap.XmlaDriver.DiscoverRequest",,"TimeEnd","60003","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","XMLA:ExecuteSchema MDSCHEMA_CUBES: 2 ms"
"2016-10-06 07:45:45.131","Application Studio Service Worker","Infor.BI.Reporting.Data.Olap.MetadataCache.MetadataCache",,"General","30103","WIN-BGCTL2CJP0V:8710","Info","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","IOlapDatabase.Cubes : 12 cubes obtained"
"2016-10-06 07:45:45.134","Application Studio Service Worker","Mis.Olap.XmlaDriver.DiscoverRequest",,"TimeStart","60003","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","XMLA:ExecuteSchema MDSCHEMA_DIMENSIONS"
"2016-10-06 07:45:45.142","Application Studio Service Worker","Mis.Olap.XmlaDriver.DiscoverRequest",,"TimeEnd","60003","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","XMLA:ExecuteSchema MDSCHEMA_DIMENSIONS: 7 ms"
"2016-10-06 07:45:45.152","Application Studio Service Worker","Mis.Olap.XmlaDriver.DiscoverRequest",,"TimeStart","60003","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","XMLA:ExecuteSchema MDSCHEMA_HIERARCHIES"
"2016-10-06 07:45:45.155","Application Studio Service Worker","Mis.Olap.XmlaDriver.DiscoverRequest",,"TimeEnd","60003","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","XMLA:ExecuteSchema MDSCHEMA_HIERARCHIES: 3 ms"
"2016-10-06 07:45:45.161","Application Studio Service Worker","Infor.BI.Reporting.Data.Cache.CachedOlapDatabase",,"TimeStart","60003","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","ExecuteQueryNoResult:Executing MDX: CREATE SESSION MEMBER [FINANCE].[VERSION].[Previous Year Finance] AS 'parallelperiod([Time].year,1,[Time].currentmember)'"
"2016-10-06 07:45:45.162","Application Studio Service Worker","Mis.Olap.XmlaDriver.ExecuteRequest",,"TimeStart","60003","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","XMLA:ExecuteMDX: CREATE SESSION MEMBER [FINANCE].[VERSION].[Previous Year Finance] AS &apos;parallelperiod([Time].year,1,[Time].currentmember)&apos;"
"2016-10-06 07:45:45.168","Application Studio Service Worker","Mis.Olap.XmlaDriver.ExecuteRequest",,"TimeEnd","60003","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","XMLA:ExecuteMDX: CREATE SESSION MEMBER [FINANCE].[VERSION].[Previous Year Finance] AS &apos;parallelperiod([Time].year,1,[Time].currentmember)&apos;: 5 ms"
"2016-10-06 07:45:45.168","Application Studio Service Worker","Infor.BI.Reporting.Data.Cache.CachedOlapDatabase",,"TimeEnd","60003","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","ExecuteQueryNoResult:Executing MDX: CREATE SESSION MEMBER [FINANCE].[VERSION].[Previous Year Finance] AS 'parallelperiod([Time].year,1,[Time].currentmember)': 6 ms"
"2016-10-06 07:45:45.169","Application Studio Service Worker","Infor.BI.Reporting.Data.Cache.CachedOlapDatabase",,"General","30304","WIN-BGCTL2CJP0V:8710","Info","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","Cache: Clearing cache for Alias ""Best Practices OLAP""Reason: Adding, removing or editing Calculation."
